model params: 2,236,682
device: cuda, train batches/epoch: 391
epoch 154/180 | train_loss 0.6080 acc 0.9547 | test_loss 0.7047 acc 0.9138 | lr 0.00535 | 15.9s
epoch 155/180 | train_loss 0.6044 acc 0.9563 | test_loss 0.6983 acc 0.9160 | lr 0.00495 | 15.9s
epoch 156/180 | train_loss 0.6004 acc 0.9582 | test_loss 0.7047 acc 0.9138 | lr 0.00457 | 15.9s
epoch 157/180 | train_loss 0.5957 acc 0.9605 | test_loss 0.6919 acc 0.9199 | lr 0.00420 | 15.9s
epoch 158/180 | train_loss 0.5894 acc 0.9638 | test_loss 0.6919 acc 0.9205 | lr 0.00385 | 15.9s
epoch 159/180 | train_loss 0.5871 acc 0.9640 | test_loss 0.6857 acc 0.9247 | lr 0.00351 | 15.9s
epoch 160/180 | train_loss 0.5814 acc 0.9676 | test_loss 0.6875 acc 0.9243 | lr 0.00319 | 15.9s
epoch 161/180 | train_loss 0.5769 acc 0.9692 | test_loss 0.6887 acc 0.9247 | lr 0.00288 | 15.9s
epoch 162/180 | train_loss 0.5722 acc 0.9709 | test_loss 0.6880 acc 0.9240 | lr 0.00259 | 15.9s
epoch 163/180 | train_loss 0.5682 acc 0.9734 | test_loss 0.6862 acc 0.9260 | lr 0.00231 | 15.9s
epoch 164/180 | train_loss 0.5638 acc 0.9753 | test_loss 0.6821 acc 0.9277 | lr 0.00205 | 15.9s
epoch 165/180 | train_loss 0.5616 acc 0.9767 | test_loss 0.6818 acc 0.9281 | lr 0.00180 | 15.9s
epoch 166/180 | train_loss 0.5590 acc 0.9770 | test_loss 0.6792 acc 0.9284 | lr 0.00157 | 15.9s
epoch 167/180 | train_loss 0.5557 acc 0.9785 | test_loss 0.6811 acc 0.9294 | lr 0.00136 | 15.9s
epoch 168/180 | train_loss 0.5509 acc 0.9809 | test_loss 0.6826 acc 0.9272 | lr 0.00116 | 15.9s
epoch 169/180 | train_loss 0.5459 acc 0.9837 | test_loss 0.6807 acc 0.9287 | lr 0.00097 | 15.9s
epoch 170/180 | train_loss 0.5471 acc 0.9832 | test_loss 0.6809 acc 0.9283 | lr 0.00080 | 15.9s
epoch 171/180 | train_loss 0.5436 acc 0.9844 | test_loss 0.6820 acc 0.9284 | lr 0.00065 | 15.9s
epoch 172/180 | train_loss 0.5421 acc 0.9858 | test_loss 0.6812 acc 0.9285 | lr 0.00051 | 15.9s
epoch 173/180 | train_loss 0.5406 acc 0.9858 | test_loss 0.6809 acc 0.9283 | lr 0.00039 | 16.0s
epoch 174/180 | train_loss 0.5399 acc 0.9866 | test_loss 0.6807 acc 0.9289 | lr 0.00029 | 15.9s
epoch 175/180 | train_loss 0.5396 acc 0.9868 | test_loss 0.6796 acc 0.9305 | lr 0.00020 | 16.0s
epoch 176/180 | train_loss 0.5382 acc 0.9876 | test_loss 0.6788 acc 0.9318 | lr 0.00013 | 15.9s
epoch 177/180 | train_loss 0.5380 acc 0.9872 | test_loss 0.6789 acc 0.9298 | lr 0.00007 | 15.9s
epoch 178/180 | train_loss 0.5364 acc 0.9876 | test_loss 0.6793 acc 0.9306 | lr 0.00003 | 16.0s
epoch 179/180 | train_loss 0.5361 acc 0.9881 | test_loss 0.6789 acc 0.9298 | lr 0.00001 | 15.9s
epoch 180/180 | train_loss 0.5374 acc 0.9870 | test_loss 0.6796 acc 0.9304 | lr 0.00000 | 15.9s
done. best test acc: 0.9318
